Location_Code,Zip_Code,Studio_Name,Studio_url,Address,Phone_Number,instructor_Name
90506,90266,undisputed-fight-academy,https://www.mindbodyonline.com/explore/locations/undisputed-fight-academy,"1807 Manhattan Beach Blvd., Manhattan Beach, CA, 90266",4243904442,"['John Pesce', 'Ally Cassan', 'Adam Wagner', 'Kitty LaDochy', 'Jeng Thanawut', 'Professor Pat Coach Nancy']"
90506,90501,total-healing-wellness,https://www.mindbodyonline.com/explore/locations/total-healing-wellness,"2211 Torrance Blvd., Torrance, CA, 90501",3102120766,[]
90506,90278,allegiate,https://www.mindbodyonline.com/explore/locations/allegiate,"1421 Aviation Blvd, Redondo Beach, CA, 90278",4242478279,['SB Allegiate Black']
90506,90266,the-studio-mdr-c07eabff,https://www.mindbodyonline.com/explore/locations/the-studio-mdr-c07eabff,"1590 Rosecrans Avenue Suite J, Manhattan Beach, CA, 90266",4246754382,"['Marissa McCabe', 'Vanessa Dunlap', 'Mary Miller', 'Samarah Williams', 'Izzy Ghotbi', 'Suzie Collis', 'Prima Tesh', 'Stephanie Nuno', 'Alexis Schwab', 'Olivia Atwood', 'Jodi Nasser', 'Dani London', 'Lindsay Hallam', 'Dana Aiken', 'Sarah Pugsley', 'Carly Segell']"
90506,90278,triton-gym,https://www.mindbodyonline.com/explore/locations/triton-gym,"1400 Aviation Boulevard, Redondo Beach, CA, 90278",3104898859,"['Mark Arranaga', 'James Clark', 'John Pesce', 'Willie Laureano', 'Rob Zoppo', 'John Marsh', 'Mitch Tavera', 'Tommy Aaron']"
90506,90277,ilovekickboxing-redondo-beach,https://www.mindbodyonline.com/explore/locations/ilovekickboxing-redondo-beach,"1262 Beryl Street, Redondo Beach, CA, 90277",3107752230,"['ILKB Taylor/Brenda', 'Brenda Salas', 'David Acuna', 'ILKB Instructor', 'Aaron/David ILKB', 'Taylor Manning', 'Gio/Taylor ILKB', 'Berto Martin', 'Berto/Taylor ILKB']"
90506,90501,fit-culture-pilates-old-town-torrance-torrance-ca,https://www.mindbodyonline.com/explore/locations/fit-culture-pilates-old-town-torrance-torrance-ca,"1311 Sartori Avenue, Torrance, CA, 90501",3103493577,"['Ashley R', 'Kara J', 'Ashley U', 'Kim T', 'Alyssa J', 'Lissette H', 'Jess N']"
90506,90503,providence-health-system-southern-california,https://www.mindbodyonline.com/explore/locations/providence-health-system-southern-california,"4101 Torrance Boulevard, Torrance, CA, 90503",3103036708,[]
90506,90277,beach-cities-health-district-center-for-health-and-fitness,https://www.mindbodyonline.com/explore/locations/beach-cities-health-district-center-for-health-and-fitness,"514 North Prospect Avenue 2nd floor, Redondo Beach, CA, 90277",3103743426,"['Lois Schunk', 'Manuela Schraner', 'Aidan Acuff', 'Judy Ann Rae', 'Amber Garrett', 'Timilie Losq', 'Cheryl Mansfield', 'Sandra Omar-Amrani', 'Open Gym', 'Carrie Bravick', 'Sue Lehman Kronfeld', 'Marc Saldana', 'Carrie Kerster', 'Krista Allen', 'Lilly Murphy', 'Maria Emmetti', 'Debbie Teel', 'Jamie Lestelle', 'Jon Michaels', 'Lisa Larson', 'Nahid Mohammidifar', 'Joyce Karel', 'Chris Bentajado', 'M B', 'Pam Carpenter', 'Bobbi Grimm', 'Tanya Rutter', 'Faye Nagy', 'Brian Fuentes', 'Pam Johnson', 'Stephanie Sutton', 'Sheri Mattson']"
90506,90503,move-the-torrance,https://www.mindbodyonline.com/explore/locations/move-the-torrance,"21250 Hawthorne Boulevard, Torrance, CA, 90503",3105435210,"['Andrea Morales', 'Gaia Mariani', 'Manuri Ranasinghe']"
90506,90254,stretchspot-hermosa-beach,https://www.mindbodyonline.com/explore/locations/stretchspot-hermosa-beach,"1111 Aviation Blvd., Hermosa Beach, CA, 90254",3109218433,[]
90506,90501,every-body-s-pilates-old-town-torrance,https://www.mindbodyonline.com/explore/locations/every-body-s-pilates-old-town-torrance,"1530 Cravens Avenue, Torrance, CA, 90501",3105331778,"['Jill', 'Staff', 'Julie', 'Marlene', 'Maki']"
90506,90254,you-can-dance-studio,https://www.mindbodyonline.com/explore/locations/you-can-dance-studio,"1089 Aviation Boulevard, Hermosa Beach, CA, 90254",3103745222,"['Sarajane Bradford', 'Konstantin Yakunin', 'Irina Trebunskaya', 'Anna Trebunskaya']"
90506,90245,orangetheory-fitness-manhattan-beach-ca-0085,https://www.mindbodyonline.com/explore/locations/orangetheory-fitness-manhattan-beach-ca-0085,"2041 Roscrans Ave., El Segundo, CA, 90245",3104005662,"['Samantha', 'Melissa', 'Caroline', 'Jess', 'Isaac', 'Kyle', 'Hunter', 'Tripp']"
90506,90501,epicenter-arts-entertainment,https://www.mindbodyonline.com/explore/locations/epicenter-arts-entertainment,"1951 West Carson Street, Torrance, CA, 90501",3103204386,"['Carlo Beto', 'Guest Instructor', 'Joshua Yu', 'Eric Luciano', 'Ryan Obayashi', 'Sheila Clayborn', 'Jasmine Rich', 'Brittany Turner', 'Daniel Bergeron', 'Elm Pizarro', 'Kelsie Lyn', 'Rouge Begu', 'Jane Tang', 'Kyle Truong', 'Christina Dong', 'Aliganga', 'Sam K. & Erick R.', 'Kat Brown', 'Kaylin Ngo', 'Prince Alex', 'Shawn Exilus', 'Jada Gosselin-Jones', 'Sean Harris', 'Victor Gonzalez', 'Safire Dancer', 'Yuki Shundo', 'Jay Boogie', 'Desiree Gonzalez', 'Asia Mirei', 'Jayven Colon', 'Kaii Vibes', 'Genesis Garing', 'Matthew Tabios', 'Tyler Sederwall', 'Kai Cameron', 'Jonathan Lau', 'Bao Vu', 'Quan Davis', 'Mayumi Nitta Cruzada', 'Deanna Liu', 'Eunice Basconcillo']"
90506,90254,aim-sports-medicine,https://www.mindbodyonline.com/explore/locations/aim-sports-medicine,"1035 Aviation Blvd., HERMOSA BEACH, CA, 90254",3109372323,[]
90506,90245,hot-8-yoga-manhattan-beach-ca,https://www.mindbodyonline.com/explore/locations/hot-8-yoga-manhattan-beach-ca,"740 S Allied Way Suite E, El Segundo, CA, 90245",3105467700,"['Hannah', 'Natasha J', 'Nancy N', 'Maks A', 'Dana C', 'Devin Q', 'Caitlin T', 'Nyia C', 'Cynthia N', 'Lizzy A', 'Cassandra G', 'Elyse F', 'Katya C', 'Staff', 'Priya Bhatia', 'Noelle N', 'Dan', 'Kimberly S', 'Ana T', 'Graduates', 'Elizabeth K', 'Ursula W', 'Tia S', 'Liliana G', 'Esha M', 'Erica Jac', 'Kristen Swain', 'Staff', 'Vivian Mach', 'Kim Pham', 'Kirsten K', 'Jasmine Y', 'Bay Y', 'Alexa F', 'Jaz Y', 'Taina A', 'Whitney M', 'Bryanna D', 'Erica W', 'Seleena P', 'David C', 'Kelli K', 'Hiromi K', ""K'Lynn M"", 'Kellie D', 'Leighla P', 'Chevy L', 'Rebecca T', 'Pamela Perez', 'Bryanna D. & Seleena P.', 'Amy J', 'Jeff U', 'Charis C', 'Maria W', 'Mikala O.', 'Nicole P', 'Isabella P.', 'Austin Gain', 'Deanna A', 'Jasmine G', 'Capital', ""Erica Jac, Whitney, K'lynn""]"
90506,90266,blink-studio,https://www.mindbodyonline.com/explore/locations/blink-studio,"2100 North Sepulveda Boulevard 41, Manhattan Beach, CA, 90266",3104694968,[]
90506,90266,massage-revolutions-back-and-neck-center,https://www.mindbodyonline.com/explore/locations/massage-revolutions-back-and-neck-center,"500 South Sepulveda Boulevard Suite 101, Manhattan Beach, CA, 90266",3107984263,[]
90506,90266,f45-training-manhattan-beach-pacific,https://www.mindbodyonline.com/explore/locations/f45-training-manhattan-beach-pacific,"2001 North Sepulveda Boulevard Suite B, Manhattan Beach, CA, 90266",4245317415,"['Jen Temperley', 'Dijon Thompson', 'Lizzy Caires', 'Aaron Medeiros', 'Maxime Clermont', 'Peter Culpepper', 'Nik']"
90506,90266,beastie,https://www.mindbodyonline.com/explore/locations/beastie,"2317 North Sepulveda Boulevard, Manhattan Beach, CA, 90266",3233794316,"['Beastie Coach Cedric', 'Beastie Coach Ashley', 'Beastie Coach Moon', 'Beastie Coach TIP', 'Beastie Coach Joseph', 'Beastie Coach Yolanda']"
90506,90254,game-ready-performance,https://www.mindbodyonline.com/explore/locations/game-ready-performance,"307 Pacific Coast Highway, Hermosa Beach, CA, 90254",4242624370,[]
90506,90245,bellacures-south-bay-bellacures-south-bay,https://www.mindbodyonline.com/explore/locations/bellacures-south-bay-bellacures-south-bay,"820 South Sepulveda Boulevard, El Segundo, CA, 90245",3103417600,[]
